date	id	product_id	all_need_password_cnt	someone_have_password_cnt	active_recog_cnt	active_recog_has_pwd_cnt	passive_recog_cnt	passive_recog_has_pwd_cnt
20181021	1610	97	14	5	0	0	14	5
20181021	1609	96	1468353	843879	11684	6873	1456669	837006
20181021	1608	90	173353	94509	0	0	173353	94509
20181021	1607	80	50674	31934	26	8	50648	31926
20181021	1606	76	16597	9906	16597	9906	0	0
20181021	1605	70	200546401	122946675	198996645	121914398	1549756	1032277
20181020	1585	35	295385	160473	80	54	295305	160419
20181020	1584	16	6	3	0	0	6	3
20181020	1583	13	176161	116645	176161	116645	0	0
20181020	1582	3	2821	2158	0	0	2821	2158
20181020	1581	1	134517290	76284132	10344	6571	134506946	76277561
20181020	1580	0	30461117	18596922	30363734	18535979	97383	60943
20181020	1586	51	3142546	1848071	0	0	3142546	1848071
20181020	1587	53	561216	364154	208	150	561008	364004
20181020	1588	57	154706563	91900176	433128	258788	154273435	91641388
20181020	1589	70	204682416	126043037	203083765	124980877	1598651	1062160
20181020	1594	97	20	9	0	0	20	9
20181020	1593	96	1502410	864091	11927	7128	1490483	856963
20181020	1592	90	188854	105419	0	0	188854	105419
20181020	1591	80	52734	33221	18	15	52716	33206
20181020	1590	76	18215	11301	18215	11301	0	0
20181019	1565	0	28779980	17593234	28678588	17529890	101392	63344
20181019	1566	1	140572360	79611969	7535	4733	140564825	79607236
20181019	1567	3	2799	2062	0	0	2799	2062
20181019	1568	13	162042	104547	162042	104547	0	0
20181019	1569	35	295867	160935	77	50	295790	160885
20181019	1570	51	3108865	1833928	0	0	3108865	1833928
20181019	1571	53	544504	351041	142	120	544362	350921
20181019	1572	57	150463288	89338070	369488	218908	150093800	89119162
20181019	1578	97	0	0	0	0	0	0
20181019	1577	96	1459995	840385	10374	6155	1449621	834230
20181019	1576	90	178710	99166	0	0	178710	99166
20181019	1575	80	51121	32122	22	20	51099	32102
20181019	1574	76	17581	10458	17581	10458	0	0
20181019	1573	70	190626568	116975866	189033975	115916669	1592593	1059197
20181018	1540	35	191223	104607	50	28	191173	104579
20181018	1539	16	5	4	0	0	5	4
20181018	1538	13	139262	92429	139261	92428	1	1
20181018	1537	7	1	0	1	0	0	0
20181018	1536	3	2749	2066	0	0	2749	2066
20181018	1534	0	11569273	7170993	11495450	7124120	73823	46873
20181018	1535	1	138306559	78150563	6726	4175	138299833	78146388
20181018	1542	53	557051	358892	90	82	556961	358810
20181018	1543	57	148643122	88089877	339158	200319	148303964	87889558
20181018	1541	51	3027294	1782185	0	0	3027294	1782185
20181018	1549	97	7	5	0	0	7	5
20181018	1548	96	1583890	908277	11525	6953	1572365	901324
20181018	1547	90	263443	137466	0	0	263443	137466
20181018	1546	80	53529	33732	24	21	53505	33711
20181018	1545	76	28250	15968	28250	15968	0	0
20181018	1544	70	200440158	122479878	198827769	121407427	1612389	1072451
20181017	1509	35	277263	154156	49	27	277214	154129
20181017	1508	16	0	0	0	0	0	0
20181017	1507	13	132940	89559	132940	89559	0	0
20181017	1506	7	1	1	1	1	0	0
20181017	1505	3	2659	1995	0	0	2659	1995
20181017	1504	1	141490785	80025645	7043	4350	141483742	80021295
20181017	1503	0	16623021	10128206	16571341	10095096	51680	33110
20181017	1510	51	3044389	1792006	0	0	3044389	1792006
20181017	1511	53	578937	374376	146	111	578791	374265
20181017	1518	97	9	4	0	0	9	4
20181017	1517	96	1562759	897070	12693	7510	1550066	889560
20181017	1516	90	155456	85882	0	0	155456	85882
20181017	1515	80	56349	35946	29	28	56320	35918
20181017	1514	76	27883	16543	27883	16543	0	0
20181017	1513	70	196488983	120251090	194833558	119147321	1655425	1103769
20181017	1512	57	151707937	90058564	337707	198197	151370230	89860367
20181016	1493	35	341828	188485	71	39	341757	188446
20181016	1492	16	0	0	0	0	0	0
20181016	1491	13	121978	81844	121977	81843	1	1
20181016	1490	3	2656	2031	0	0	2656	2031
20181016	1489	1	136809025	77334452	6574	3997	136802451	77330455
20181016	1488	0	29088427	17711739	29011238	17662929	77189	48810
20181016	1494	51	3021705	1779664	0	0	3021705	1779664
20181016	1495	53	559095	363234	104	72	558991	363162
20181016	1496	57	151836215	90178229	327504	192044	151508711	89986185
20181016	1502	97	15	4	0	0	15	4
20181016	1501	96	1509972	867315	12708	7552	1497264	859763
20181016	1500	90	143463	79604	0	0	143463	79604
20181016	1499	80	52885	33047	19	18	52866	33029
20181016	1498	76	17372	10490	17372	10490	0	0
20181016	1497	70	184210001	112698947	182583873	111621743	1626128	1077204
20181015	1478	35	342811	189021	73	43	342738	188978
20181015	1477	16	0	0	0	0	0	0
20181015	1476	13	133445	91240	133443	91238	2	2
20181015	1475	3	2568	1906	0	0	2568	1906
20181015	1474	1	133754975	75637014	6525	4066	133748450	75632948
20181015	1473	0	29212859	17783427	29114293	17721472	98566	61955
20181015	1479	51	3009273	1773201	0	0	3009273	1773201
20181015	1480	53	544884	352302	88	74	544796	352228
20181015	1481	57	153344558	91312358	326925	190739	153017633	91121619
20181015	1487	97	10	7	0	0	10	7
20181015	1486	96	1500959	862068	13454	8054	1487505	854014
20181015	1485	90	147069	79989	0	0	147069	79989
20181015	1484	80	51839	32007	35	32	51804	31975
20181015	1483	76	16443	9764	16443	9764	0	0
20181015	1482	70	185121207	113288452	183537780	112237865	1583427	1050587
20181014	1463	35	333338	183318	83	54	333255	183264
20181014	1462	13	134987	94452	134987	94452	0	0
20181014	1461	7	1	1	1	1	0	0
20181014	1460	3	2538	1894	0	0	2538	1894
20181014	1459	1	133815194	75839386	8659	5485	133806535	75833901
20181014	1458	0	30609829	18659590	30490656	18584601	119173	74989
20181014	1464	51	3000914	1760003	0	0	3000914	1760003
20181014	1465	53	540231	352673	115	97	540116	352576
20181014	1466	57	154246155	91894914	385973	228009	153860182	91666905
20181014	1472	97	2	0	0	0	2	0
20181014	1471	96	1541982	889759	16781	10010	1525201	879749
20181014	1470	90	168366	91990	0	0	168366	91990
20181014	1469	80	50978	31957	38	30	50940	31927
20181014	1468	76	16553	10121	16553	10121	0	0
20181014	1467	70	199689682	122693081	198171144	121680731	1518538	1012350
20181013	1448	51	3054551	1803107	0	0	3054551	1803107
20181013	1447	35	332148	183225	77	49	332071	183176
20181013	1446	13	134801	93938	134801	93938	0	0
20181013	1445	3	2511	1927	0	0	2511	1927
20181013	1444	1	134601300	76579226	8970	5608	134592330	76573618
20181013	1443	0	30296969	18529217	30183606	18457468	113363	71749
20181013	1449	53	542602	353370	146	129	542456	353241
20181013	1450	57	157077787	93813518	392335	233094	156685452	93580424
20181013	1451	70	200452181	123563275	198910293	122534657	1541888	1028618
20181013	1452	76	18155	10926	18155	10926	0	0
20181013	1453	80	49850	30821	33	23	49817	30798
20181013	1454	90	180148	100432	0	0	180148	100432
20181013	1455	96	1531177	885395	15789	9473	1515388	875922
20181013	1456	97	0	0	0	0	0	0
20181012	1442	97	1	0	0	0	1	0
20181012	1441	96	1483249	856156	12780	7586	1470469	848570
20181012	1440	90	157302	88460	0	0	157302	88460
20181012	1439	80	48878	30804	14	10	48864	30794
20181012	1428	0	28622746	17471655	28511899	17401511	110847	70144
20181012	1429	1	137100710	78072957	6874	4352	137093836	78068605
20181012	1430	3	2371	1824	0	0	2371	1824
20181012	1431	13	150018	104334	150018	104334	0	0
20181012	1432	16	3	1	0	0	3	1
20181012	1433	35	334378	186316	98	56	334280	186260
20181012	1434	51	3036617	1792196	0	0	3036617	1792196
20181012	1435	53	532821	344915	126	89	532695	344826
20181012	1436	57	160248672	95777426	334072	196841	159914600	95580585
20181012	1437	70	186365497	114602915	184788861	113549195	1576636	1053720
20181012	1438	76	16757	10150	16757	10150	0	0
20181011	1418	35	331898	184778	83	46	331815	184732
20181011	1417	16	0	0	0	0	0	0
20181011	1416	13	145402	103534	145402	103534	0	0
20181011	1415	3	2348	1752	0	0	2348	1752
20181011	1414	1	133586572	75921942	6275	3972	133580297	75917970
20181011	1413	0	27122553	16434132	27009513	16362744	113040	71388
20181011	1419	51	2980672	1759399	0	0	2980672	1759399
20181011	1420	53	533323	346236	104	74	533219	346162
20181011	1421	57	156947276	93785942	306914	180462	156640362	93605480
20181011	1427	97	3	1	0	0	3	1
20181011	1426	96	1457254	840273	12448	7424	1444806	832849
20181011	1425	90	157142	87299	0	0	157142	87299
20181011	1424	80	48148	30640	13	11	48135	30629
20181011	1423	76	15722	9600	15722	9600	0	0
20181011	1422	70	175918827	107590588	174394294	106575579	1524533	1015009
20181010	1403	51	3002668	1774428	0	0	3002668	1774428
20181010	1402	35	337389	187686	110	51	337279	187635
20181010	1401	13	129955	87608	129951	87605	4	3
20181010	1400	3	2257	1715	0	0	2257	1715
20181010	1399	1	133683307	75970929	6190	3822	133677117	75967107
20181010	1398	0	27105038	16408737	26995340	16339279	109698	69458
20181010	1404	53	538728	348721	99	77	538629	348644
20181010	1405	57	155725881	93079923	312097	183090	155413784	92896833
20181010	1411	97	4	2	0	0	4	2
20181010	1410	96	1457892	840721	13006	7675	1444886	833046
20181010	1409	90	169310	94269	0	0	169310	94269
20181010	1408	80	48600	30143	8	7	48592	30136
20181010	1407	76	16958	10202	16958	10202	0	0
20181010	1406	70	176458509	107888741	174931008	106867223	1527501	1021518
20181009	1388	51	3036158	1795028	0	0	3036158	1795028
20181009	1387	35	339218	187599	78	49	339140	187550
20181009	1386	13	135957	91620	135957	91620	0	0
20181009	1385	3	2359	1814	0	0	2359	1814
20181009	1384	1	134571819	76384057	6705	4047	134565114	76380010
20181009	1383	0	27163551	16454019	27048902	16381388	114649	72631
20181009	1389	53	543326	352856	73	54	543253	352802
20181009	1390	57	156662010	93611399	320326	188962	156341684	93422437
20181009	1396	97	2	1	0	0	2	1
20181009	1395	96	1488565	854907	14396	8523	1474169	846384
20181009	1394	90	160640	89113	0	0	160640	89113
20181009	1393	80	48943	30913	19	7	48924	30906
20181009	1392	76	16693	10184	16693	10184	0	0
20181009	1391	70	178674546	109324255	177147885	108303882	1526661	1020373
20181008	1373	51	3069237	1819129	0	0	3069237	1819129
20181008	1372	35	334811	185996	79	47	334732	185949
20181008	1371	13	138866	93507	138865	93506	1	1
20181008	1370	3	2325	1744	0	0	2325	1744
20181008	1369	1	134631290	76653055	6818	4297	134624472	76648758
20181008	1368	0	26967901	16348093	26852142	16274374	115759	73719
20181008	1374	53	539020	352318	82	57	538938	352261
20181008	1375	57	155396719	93158489	325397	191176	155071322	92967313
20181008	1381	97	6	4	0	0	6	4
20181008	1380	96	1481778	855047	15899	9421	1465879	845626
20181008	1379	90	157200	88241	0	0	157200	88241
20181008	1378	80	49208	30867	13	8	49195	30859
20181008	1377	76	15078	9496	15078	9496	0	0
20181008	1376	70	178648133	109457440	177149032	108449055	1499101	1008385
20181007	1358	51	3054192	1807229	0	0	3054192	1807229
20181007	1357	35	322860	178799	89	54	322771	178745
20181007	1356	13	143532	95979	143532	95979	0	0
20181007	1355	3	2440	1846	0	0	2440	1846
20181007	1354	1	135781221	77599565	8664	5483	135772557	77594082
20181007	1353	0	28101185	17055616	27987020	16982914	114165	72702
20181007	1359	53	547236	358278	112	65	547124	358213
20181007	1360	57	154453319	92828605	369201	220012	154084118	92608593
20181007	1366	97	3	1	0	0	3	1
20181007	1365	96	1507957	877063	18133	10949	1489824	866114
20181007	1364	90	177815	100386	0	0	177815	100386
20181007	1363	80	50517	32138	15	13	50502	32125
20181007	1362	76	17198	10618	17198	10618	0	0
20181007	1361	70	192915266	118695228	191436544	117701945	1478722	993283
20181006	1342	35	325279	181629	75	40	325204	181589
20181006	1341	13	148213	103338	148213	103338	0	0
20181006	1340	3	2477	1886	0	0	2477	1886
20181006	1339	1	137032246	78662158	9025	5847	137023221	78656311
20181006	1338	0	28370293	17285107	28250371	17209413	119922	75694
20181006	1350	96	1501222	872729	17947	10774	1483275	861955
20181006	1343	51	3132528	1869434	0	0	3132528	1869434
20181006	1344	53	569057	374429	135	99	568922	374330
20181006	1345	57	156619576	94345265	386873	232085	156232703	94113180
20181006	1346	70	196655923	121634590	195128267	120603838	1527656	1030752
20181006	1347	76	18036	11222	18036	11222	0	0
20181006	1348	80	52451	33730	17	14	52434	33716
20181006	1349	90	176031	99608	0	0	176031	99608
20181006	1351	97	1	1	0	0	1	1
20181005	1328	51	3186205	1916052	0	0	3186205	1916052
20181005	1327	35	322660	181090	68	42	322592	181048
20181005	1326	13	148733	105380	148733	105380	0	0
20181005	1325	3	2575	1970	0	0	2575	1970
20181005	1324	1	138377675	79744051	10153	6364	138367522	79737687
20181005	1323	0	28306280	17298477	28187234	17222128	119046	76349
20181005	1329	53	575764	378675	155	117	575609	378558
20181005	1330	57	158159348	95535179	398265	240026	157761083	95295153
20181005	1331	70	195153919	121100066	193593339	120047738	1560580	1052328
20181005	1333	80	53187	33794	12	12	53175	33782
20181005	1334	90	183743	105447	0	0	183743	105447
20181005	1335	96	1494615	870404	16911	10245	1477704	860159
20181005	1336	97	3	1	0	0	3	1
20181005	1332	76	18684	11535	18684	11535	0	0
20181004	1313	51	3247854	1960068	0	0	3247854	1960068
20181004	1312	35	327382	184108	90	52	327292	184056
20181004	1310	3	2644	2003	0	0	2644	2003
20181004	1309	1	140409583	81003265	10464	6586	140399119	80996679
20181004	1308	0	28542347	17510137	28420662	17432691	121685	77446
20181004	1311	13	151508	107779	151507	107778	1	1
20181004	1314	53	578242	380401	178	118	578064	380283
20181004	1315	57	160345740	97029278	413696	249151	159932044	96780127
20181004	1321	97	24	13	0	0	24	13
20181004	1320	96	1486263	872284	17587	10644	1468676	861640
20181004	1319	90	195802	109994	0	0	195802	109994
20181004	1318	80	53131	34148	24	11	53107	34137
20181004	1317	76	19445	12266	19445	12266	0	0
20181004	1316	70	195300185	121526503	193719182	120459514	1581003	1066989
20181003	1297	35	323461	181872	102	57	323359	181815
20181003	1296	13	153829	110208	153829	110208	0	0
20181003	1295	3	2534	1956	0	0	2534	1956
20181003	1294	1	143327451	82861514	10538	6914	143316913	82854600
20181003	1305	96	1495821	876472	18326	11018	1477495	865454
20181003	1293	0	28840428	17720464	28718270	17642249	122158	78215
20181003	1298	51	3270728	1974953	0	0	3270728	1974953
20181003	1299	53	583485	384710	142	122	583343	384588
20181003	1300	57	162571681	98510740	435429	261926	162136252	98248814
20181003	1301	70	196156311	122330665	194582611	121263792	1573700	1066873
20181003	1302	76	20351	12650	20351	12650	0	0
20181003	1303	80	53916	34399	21	12	53895	34387
20181003	1304	90	213998	121567	0	0	213998	121567
20181003	1306	97	2	1	0	0	2	1
20181002	1282	35	329339	184695	113	73	329226	184622
20181002	1281	13	147107	106239	147107	106239	0	0
20181002	1280	3	2535	1940	0	0	2535	1940
20181002	1279	1	146333976	84585049	11812	7891	146322164	84577158
20181002	1278	0	29448633	18108571	29323398	18028825	125235	79746
20181002	1284	53	589970	389859	187	152	589783	389707
20181002	1283	51	3262720	1967929	0	0	3262720	1967929
20181002	1289	90	222480	127591	0	0	222480	127591
20181002	1285	57	165811743	100461252	459319	275892	165352424	100185360
20181002	1286	70	198440436	123923785	196875110	122864340	1565326	1059445
20181002	1287	76	21080	13664	21080	13664	0	0
20181002	1288	80	55047	35115	44	37	55003	35078
20181002	1291	97	11	7	0	0	11	7
20181002	1290	96	1497844	878010	18542	11253	1479302	866757
20181001	1268	51	3302921	1971225	0	0	3302921	1971225
20181001	1263	0	30891361	19007906	30760922	18924578	130439	83328
20181001	1267	35	345452	193368	104	66	345348	193302
20181001	1266	13	139236	100252	139236	100252	0	0
20181001	1265	3	2482	1889	0	0	2482	1889
20181001	1264	1	157616296	90943892	12086	7736	157604210	90936156
20181001	1269	53	597437	393286	184	143	597253	393143
20181001	1270	57	177714038	107410990	499372	299484	177214666	107111506
20181001	1271	70	205397879	128237095	203827467	127171894	1570412	1065201
20181001	1273	80	56203	35885	34	23	56169	35862
20181001	1274	90	233354	132847	0	0	233354	132847
20181001	1275	96	1553563	905793	17777	10689	1535786	895104
20181001	1276	97	6	4	0	0	6	4
20181001	1272	76	22531	14502	22531	14502	0	0
